address,latitude,longitude,city,state,postal_code,price,price_sqft,#bedrooms,#bathrooms,sqft,url
492 Hardendorf Ave NE,33.767613,-84.332163,ATLANTA,GA,30307,675000,373,3,2,1805,https://www.zillow.com/homedetails/492-Hardendorf-Ave-NE-Atlanta-GA-30307/14478558_zpid/
492 Thistle Cv,33.626723,-84.544834,ATLANTA,GA,30349,135000,87,3,3,1540,https://www.zillow.com/homedetails/492-Thistle-Cv-Atlanta-GA-30349/88815746_zpid/
4920 Erin Rd SW,33.688859,-84.548093,ATLANTA,GA,30331,110000,75,3,2.5,1455,https://www.zillow.com/homedetails/4920-Erin-Rd-SW-Atlanta-GA-30331/65451181_zpid/
4920 Vermack Rd,33.942082,-84.316386,ATLANTA,GA,30338,399900,182,4,2,2192,https://www.zillow.com/homedetails/4920-Vermack-Rd-Atlanta-GA-30338/14582915_zpid/
4926 Summerford Dr,33.942347,-84.327667,ATLANTA,GA,30338,519500,222,4,3,2339,https://www.zillow.com/homedetails/4926-Summerford-Dr-Atlanta-GA-30338/14582977_zpid/
493 Reed St SE,33.740882,-84.385718,ATLANTA,GA,30312,245000,158,3,2.5,1546,https://www.zillow.com/homedetails/493-Reed-St-SE-Atlanta-GA-30312/35881895_zpid/
493 Willard Ave SW,33.741611,-84.437074,ATLANTA,GA,30310,175000,121,3,2,1440,https://www.zillow.com/homedetails/493-Willard-Ave-SW-Atlanta-GA-30310/35846992_zpid/
4930 Long Island Ter,33.889604,-84.384582,SANDY SPRINGS,GA,30342,320000,168,2,3,1902,https://www.zillow.com/homedetails/4930-Long-Island-Ter-Sandy-Springs-GA-30342/35941143_zpid/
4933 Colchester Ct SE,33.83311,-84.481112,Atlanta,GA,30339,304900,129,3,3.5,2352,https://www.zillow.com/homedetails/4933-Colchester-Ct-SE-Atlanta-GA-30339/2093894282_zpid/
4934 Payson Way SE UNIT 23,33.834351,-84.480375,Atlanta,GA,30339,293500,132,3,4,2208,https://www.zillow.com/homedetails/4934-Payson-Way-SE-UNIT-23-Atlanta-GA-30339/61951480_zpid/
4938 Wewatta St SW,33.658347,-84.548673,ATLANTA,GA,30331,198000,57,5,3,3414,https://www.zillow.com/homedetails/4938-Wewatta-St-SW-Atlanta-GA-30331/88817559_zpid/
494 Emory Cir NE,33.790159,-84.315378,ATLANTA,GA,30307,900000,195,5,4,4613,https://www.zillow.com/homedetails/494-Emory-Cir-NE-Atlanta-GA-30307/14520170_zpid/
494 Morgan St NE,33.769163,-84.371006,ATLANTA,GA,30308,549500,128,4,5,4288,https://www.zillow.com/homedetails/494-Morgan-St-NE-Atlanta-GA-30308/35879213_zpid/
494 Parkway Dr Ne,33.767798,-84.373509,Atlanta,GA,30308,615000,170,6,4,3600,https://www.zillow.com/homedetails/494-Parkway-Dr-Ne-Atlanta-GA-30308/2091878363_zpid/
