title,address,latitude,longitude,city,state,postal_code,price,#bedrooms,#bathrooms,sqft,real estate provider,url
House For Sale,3926 Lake Manor Way,33.650208,-84.52817,Atlanta,GA,30349,"$215,000 ",3,3,"1,775",BHGRE Metro Brokers,https://www.zillow.com/homedetails/3926-Lake-Manor-Way-Atlanta-GA-30349/2102977219_zpid/
New Construction,6002 Tyne Ct,33.6151,-84.5053,College Park,GA,30349,"$164,315 ",3,3,"1,667",DR Horton Realty of Georgia Inc,https://www.zillow.com/homedetails/6002-Tyne-Ct-College-Park-GA-30349/2091595129_zpid/
New Construction,3869 Lake Manor Way # 27Q3LZ,33.65091,-84.52728,Atlanta,GA,30349,"$226,990 ",4,4,"3,016",,https://www.zillow.com/community/lakeside-preserve-sanctuary-series/2098246332_zpid/
House For Sale,772 Miller Run,33.655949,-84.62896,Atlanta,GA,30349,"$272,500 ",4,3,"3,366",,https://www.zillow.com/homedetails/772-Miller-Run-Atlanta-GA-30349/65463804_zpid/
House For Sale,5550 Feldwood Rd,33.60453,-84.516649,College Park,GA,30349,"$495,000 ",2,3,"1,598",,https://www.zillow.com/homedetails/5550-Feldwood-Rd-College-Park-GA-30349/65446764_zpid/
New Construction,6002 Tyne Ct # 126,33.6151,-84.5053,College Park,GA,30349,"$168,315 ",3,3,"1,777",D.R. Horton Realty of GA Inc.,https://www.zillow.com/homedetails/6002-Tyne-Ct-126-College-Park-GA-30349/2091640982_zpid/
New Construction,3989 Makeover Ct # 583TSK,33.60637,-84.518541,Atlanta,GA,30349,"$178,990 ",4,3,"2,176",,https://www.zillow.com/community/riggins-ridge/2091667298_zpid/
New Construction,6005 Nile Ct # 119,33.604796,-84.443932,College Park,GA,30349,"$175,500 ",4,3,"1,976",D.R. Horton Realty of GA Inc.,https://www.zillow.com/homedetails/6005-Nile-Ct-119-College-Park-GA-30349/2091674151_zpid/
New Construction,3869 Lake Manor Way # TWQFS2,33.65091,-84.52728,Atlanta,GA,30349,"$217,990 ",4,3,"2,285",,https://www.zillow.com/community/lakeside-preserve-garden-series/2098246349_zpid/
Townhouse For Sale,2555 Flat Shoals Rd APT 104,33.59047,-84.472283,Atlanta,GA,30349,"$128,000 ",3,3,"1,408",Virtual Properties Realty.com,https://www.zillow.com/homedetails/2555-Flat-Shoals-Rd-APT-104-Atlanta-GA-30349/69369952_zpid/
New Construction,4920 Buckeye Pl,33.625442,-84.545372,College Park,GA,30349,"$195,900 ",4,3,"2,050",,https://www.zillow.com/homedetails/4920-Buckeye-Pl-College-Park-GA-30349/2124578429_zpid/
